ts,frame_idx,mode,fps,latency_ms,width,height,power_state
1771342485.1124084,555,face,32.903986004659885,4.140899982303381,640,480,unknown
1771342485.1446157,556,face,31.20785124889322,4.665800137445331,640,480,unknown
1771342485.1889205,557,face,20.936346937145597,4.53380006365478,640,480,unknown
1771342485.220405,558,face,31.277434750186426,4.380000056698918,640,480,unknown
1771342485.2532833,559,face,29.75886705973337,2.42229993455112,640,480,unknown
1771342485.284225,560,face,32.31881891523282,3.1032999977469444,640,480,unknown
1771342485.3182614,561,face,32.55789980283483,3.110499819740653,640,480,unknown
1771342485.3483548,562,face,29.926395250938253,2.7083000168204308,640,480,unknown
1771342485.3806658,563,face,30.949248092560616,2.1647000685334206,640,480,unknown
1771342485.4144878,564,face,30.399675296436957,2.1168000530451536,640,480,unknown
1771342485.4438202,565,face,33.0476137948423,2.5244001299142838,640,480,unknown
1771342485.4769742,566,face,30.16226322829323,4.226600052788854,640,480,unknown
1771342485.5089297,567,face,33.58022161019663,3.0963001772761345,640,480,unknown
1771342485.558426,568,face,19.751657625075346,2.1430000197142363,640,480,unknown
1771342485.5882406,569,face,32.40621499045809,2.2387998178601265,640,480,unknown
1771342485.6213102,570,face,30.23924328065521,2.1996002178639174,640,480,unknown
1771342485.656358,571,face,32.87613165176087,5.353299900889397,640,480,unknown
1771342485.689327,572,face,30.523119915001384,4.480700008571148,640,480,unknown
1771342485.7197337,573,face,30.321658100009397,3.4841999877244234,640,480,unknown
1771342485.749385,574,face,33.73715241749314,2.3018999490886927,640,480,unknown
1771342485.7797072,575,face,30.677608577990373,2.214499982073903,640,480,unknown
1771342485.8138895,576,face,30.187879660285017,2.206499921157956,640,480,unknown
1771342485.8430433,577,face,33.1013408464932,2.4090998340398073,640,480,unknown
1771342485.8753457,578,face,33.336014433432155,3.3593999687582254,640,480,unknown
1771342485.9272947,579,face,19.441385735673794,2.482200041413307,640,480,unknown
1771342485.9606557,580,face,30.125867294901813,2.7723999228328466,640,480,unknown
1771342485.9879951,581,face,33.59259318585914,2.3141999263316393,640,480,unknown
1771342486.0230198,582,face,30.024725294391352,2.5483001954853535,640,480,unknown
1771342486.0511262,583,face,32.91612255148167,2.741800155490637,640,480,unknown
1771342486.085007,584,face,33.14921598381386,3.1839001458138227,640,480,unknown
1771342486.1150367,585,face,29.635022468417038,2.4961999151855707,640,480,unknown
1771342486.1512308,586,face,30.40452337803552,3.409500000998378,640,480,unknown
1771342486.1809137,587,face,31.67209599105936,3.126499941572547,640,480,unknown
1771342486.2118149,588,face,31.741845646218348,2.36480007879436,640,480,unknown
1771342486.2449634,589,face,32.50743261048161,3.0799999367445707,640,480,unknown
1771342486.2920272,590,face,20.892025841672435,2.337200101464987,640,480,unknown
1771342486.3248513,591,face,30.408270682142778,2.769300015643239,640,480,unknown
1771342486.357555,592,face,30.281596996606744,2.209699945524335,640,480,unknown
1771342486.3883443,593,face,31.89900142219383,2.5487998500466347,640,480,unknown
1771342486.4201038,594,face,30.10770224678774,2.2848001681268215,640,480,unknown
1771342486.4539351,595,face,31.5807607746288,2.404599916189909,640,480,unknown
1771342486.486339,596,face,28.926433975406727,2.727700164541602,640,480,unknown
1771342486.52062,597,face,31.416595508816084,4.205900011584163,640,480,unknown
1771342486.548574,598,face,32.88979502219156,4.5646000653505325,640,480,unknown
1771342486.5799541,599,face,32.90166300596172,2.596499864012003,640,480,unknown
1771342486.6106358,600,face,31.577432129251804,2.6911001186817884,640,480,unknown
1771342486.661532,601,face,20.09680649720898,2.211499959230423,640,480,unknown
1771342486.6941333,602,face,30.693098578150497,2.392900176346302,640,480,unknown
1771342486.7237012,603,face,32.5460259325072,2.546299947425723,640,480,unknown
1771342486.757901,604,face,31.07237100418565,4.986200015991926,640,480,unknown
1771342486.7888024,605,face,30.378318087333145,2.1196999587118626,640,480,unknown
1771342486.821477,606,face,32.059681413764636,2.541900146752596,640,480,unknown
1771342486.853876,607,face,31.07237100418565,2.686500083655119,640,480,unknown
1771342486.8871877,608,face,29.851210259987045,2.413000212982297,640,480,unknown
1771342486.9154894,609,face,33.54262499600141,2.9815000016242266,640,480,unknown
1771342486.9459684,610,face,32.809524554514304,2.5019000750035048,640,480,unknown
1771342486.9796321,611,face,29.705544066404148,2.1952998358756304,640,480,unknown
1771342487.0305886,612,face,20.469005905031477,2.0580999553203583,640,480,unknown
1771342487.063216,613,face,30.762659156251832,2.578600076958537,640,480,unknown
1771342487.0933926,614,face,32.91302300762736,2.1431001368910074,640,480,unknown
1771342487.1269002,615,face,29.422562678002723,2.2617001086473465,640,480,unknown
1771342487.158435,616,face,31.300776119402986,2.1262001246213913,640,480,unknown
1771342487.1902194,617,face,32.55158283598885,2.172099892050028,640,480,unknown
1771342487.2186127,618,face,32.70106500756265,2.148200059309602,640,480,unknown
1771342487.252855,619,face,29.203567673701286,2.9420999344438314,640,480,unknown
1771342487.288834,620,face,30.593919589192975,4.777199821546674,640,480,unknown
1771342487.3153691,621,face,33.52573397172021,2.440699841827154,640,480,unknown
1771342487.3500633,622,face,28.82326585027282,2.112099900841713,640,480,unknown
1771342487.3989382,623,face,21.060183371996104,2.8075999580323696,640,480,unknown
1771342487.4295177,624,face,31.277901236409193,2.2410000674426556,640,480,unknown
1771342487.4618149,625,face,31.918178497503956,2.366000087931752,640,480,unknown
1771342487.4976096,626,face,30.006252638055244,4.05830005183816,640,480,unknown
1771342487.528123,627,face,31.720480688512936,2.408500062301755,640,480,unknown
1771342487.5623333,628,face,30.825284602438504,4.078699974343181,640,480,unknown
1771342487.5896957,629,face,33.1699262153121,2.4069000501185656,640,480,unknown
1771342487.6215744,630,face,32.13065827070837,3.2424000091850758,640,480,unknown
1771342487.6561048,631,face,31.343581159344478,4.881399916484952,640,480,unknown
1771342487.6847224,632,face,30.63772096420745,3.0781999230384827,640,480,unknown
1771342487.7169719,633,face,32.259410235505854,2.759800059720874,640,480,unknown
1771342487.7651196,634,face,19.93395751152512,2.1547998767346144,640,480,unknown
1771342487.79899,635,face,31.041326228537596,2.1496000699698925,640,480,unknown
1771342487.8316252,636,face,31.20924452910494,2.4657000321894884,640,480,unknown
1771342487.8625512,637,face,30.143404362355817,2.306699985638261,640,480,unknown
1771342487.8998094,638,face,31.392846183208963,6.184000056236982,640,480,unknown
1771342487.9247894,639,face,32.91224821287047,3.785999957472086,640,480,unknown
1771342487.9569514,640,face,31.092641052061943,5.869300104677677,640,480,unknown
1771342487.9903417,641,face,31.745209046047652,4.882399924099445,640,480,unknown
1771342488.0220904,642,face,30.701411254904258,2.0839001517742872,640,480,unknown
1771342488.0546887,643,face,33.144762732624756,3.1927002128213644,640,480,unknown
1771342488.0857425,644,face,29.58255926309924,2.732400083914399,640,480,unknown
1771342488.13437,645,face,20.68595045398277,2.383399987593293,640,480,unknown
1771342488.1827257,646,face,30.759951890639208,21.4799998793751,640,480,unknown
1771342488.2002974,647,face,29.029941445993273,2.1500999573618174,640,480,unknown
1771342488.233064,648,face,34.4052038815838,3.5478000063449144,640,480,unknown
1771342488.2639227,649,face,30.970501148203116,2.6512001641094685,640,480,unknown
1771342488.2951539,650,face,30.979422409335992,2.2287999745458364,640,480,unknown
1771342488.3268378,651,face,32.413477588871714,2.3763999342918396,640,480,unknown
1771342488.3570383,652,face,31.00209178733249,2.1265000104904175,640,480,unknown
1771342488.3886986,653,face,33.768388509596804,2.197700086981058,640,480,unknown
1771342488.4206285,654,face,31.331406076089312,2.409999957308173,640,480,unknown
1771342488.4371278,655,face,61.99639341354539,2.36879987642169,640,480,unknown
1771342488.4986746,656,face,15.630849497829207,2.2740999702364206,640,480,unknown
1771342488.5315957,657,face,31.482623511927102,2.1866001188755035,640,480,unknown
1771342488.5666285,658,face,28.800505379961958,2.3862000089138746,640,480,unknown
1771342488.6000242,659,face,31.192997330120555,2.643799874931574,640,480,unknown
1771342488.6288443,660,face,33.45513715293011,2.3783999495208263,640,480,unknown
1771342488.6576948,661,face,32.69494722728903,3.0171999242156744,640,480,unknown
1771342488.6939192,662,face,29.501410253704993,2.8379999566823244,640,480,unknown
1771342488.7274122,663,face,29.764568963070197,2.710500033572316,640,480,unknown
1771342488.7594898,664,face,31.160785129492876,2.5659999810159206,640,480,unknown
1771342488.7919078,665,face,30.366661357350747,2.1736000198870897,640,480,unknown
1771342488.8067448,666,face,60.48197496683394,2.2316998802125454,640,480,unknown
1771342488.8264868,667,face,56.90741343753392,3.1959000043570995,640,480,unknown
1771342488.9019873,668,face,13.072272521855666,2.3598000407218933,640,480,unknown
1771342488.9341984,669,face,32.085187111777486,2.611599862575531,640,480,unknown
1771342488.96449,670,face,30.761756681432804,2.150100190192461,640,480,unknown
1771342488.9958732,671,face,31.864104960077793,2.2557000629603863,640,480,unknown
1771342489.0278656,672,face,31.257388997361872,2.418499905616045,640,480,unknown
1771342489.0604365,673,face,30.70231019236963,3.2311000395566225,640,480,unknown
1771342489.0956185,674,face,31.415654258108006,4.485699813812971,640,480,unknown
1771342489.126011,675,face,29.635650644037618,2.2685001604259014,640,480,unknown
1771342489.165518,676,face,30.40915253499989,6.737899966537952,640,480,unknown
1771342489.176879,677,face,55.60746151908468,3.0485999304801226,640,480,unknown
1771342489.2060566,678,face,34.27278967151496,4.555499879643321,640,480,unknown
1771342489.2425344,679,face,31.50106648241055,5.596900125965476,640,480,unknown
1771342489.3016176,680,face,16.01356128923878,2.270100172609091,640,480,unknown
